"Project","ScanDate","DependencyName","DependencyPath","Description","License","Md5","Sha1","Identifiers","CPE","CVE","CWE","Vulnerability","Source","CVSSv2_Severity","CVSSv2_Score","CVSSv2","CVSSv3_BaseSeverity","CVSSv3_BaseScore","CVSSv3","CPE Confidence","Evidence Count"
spring-boot-demo,"Wed, 1 Jun 2022 16:16:23 -0500",gson-2.8.6.jar,C:\Users\crist\.m2\repository\com\google\code\gson\gson\2.8.6\gson-2.8.6.jar,Gson JSON library,"",310f5841387183aca7900fead98d4858,9180733b7df8542621dc12e21e87557e8c99b8cb,pkg:maven/com.google.code.gson/gson@2.8.6,cpe:2.3:a:google:gson:2.8.6:*:*:*:*:*:*:*,CVE-2022-25647,CWE-502 Deserialization of Untrusted Data,"The package com.google.code.gson:gson before 2.8.9 are vulnerable to Deserialization of Untrusted Data via the writeReplace() method in internal classes, which may lead to DoS attacks.",NVD,MEDIUM,5.0,/AV:N/AC:L/Au:N/C:N/I:N/A:P,HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGH,29
spring-boot-demo,"Wed, 1 Jun 2022 16:16:23 -0500",jackson-databind-2.11.2.jar,C:\Users\crist\.m2\repository\com\fasterxml\jackson\core\jackson-databind\2.11.2\jackson-databind-2.11.2.jar,General data-binding functionality for Jackson: works on core streaming API,"The Apache Software License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt",14fd0effa4d1d3e09edb36423be82aff,ee08bbd8975dde844307fe8309dfcd5ec7ee129d,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.11.2,"cpe:2.3:a:fasterxml:jackson-databind:2.11.2:*:*:*:*:*:*:*, cpe:2.3:a:fasterxml:jackson-modules-java8:2.11.2:*:*:*:*:*:*:*",CVE-2020-36518,CWE-787 Out-of-bounds Write,jackson-databind before 2.13.0 allows a Java StackOverflow exception and denial of service via a large depth of nested objects.,NVD,MEDIUM,5.0,/AV:N/AC:L/Au:N/C:N/I:N/A:P,HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGH,43
spring-boot-demo,"Wed, 1 Jun 2022 16:16:23 -0500",jakarta.el-3.0.3.jar,C:\Users\crist\.m2\repository\org\glassfish\jakarta.el\3.0.3\jakarta.el-3.0.3.jar,"Jakarta Expression Language provides a specification document, API, reference implementation and TCK          that describes an expression language for Java applications.",EPL 2.0: http://www.eclipse.org/legal/epl-2.0 GPL2 w/ CPE: https://www.gnu.org/software/classpath/license.html,6bb54dbf912bf1b6c79592838db76b51,dab46ee1ee23f7197c13d7c40fce14817c9017df,pkg:maven/org.glassfish/jakarta.el@3.0.3,cpe:2.3:a:eclipse:jakarta_expression_language:3.0.3:*:*:*:*:*:*:*,CVE-2021-28170,CWE-917 Improper Neutralization of Special Elements used in an Expression Language Statement ('Expression Language Injection'),"In the Jakarta Expression Language implementation 3.0.3 and earlier, a bug in the ELParserTokenManager enables invalid EL expressions to be evaluated as if they were valid.",NVD,MEDIUM,5.0,/AV:N/AC:L/Au:N/C:N/I:P/A:N,MEDIUM,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,HIGH,38
spring-boot-demo,"Wed, 1 Jun 2022 16:16:23 -0500",logback-core-1.2.3.jar,C:\Users\crist\.m2\repository\ch\qos\logback\logback-core\1.2.3\logback-core-1.2.3.jar,logback-core module,"http://www.eclipse.org/legal/epl-v10.html, http://www.gnu.org/licenses/old-licenses/lgpl-2.1.html",841fc80c6edff60d947a3872a2db4d45,864344400c3d4d92dfeb0a305dc87d953677c03c,pkg:maven/ch.qos.logback/logback-core@1.2.3,cpe:2.3:a:qos:logback:1.2.3:*:*:*:*:*:*:*,CVE-2021-42550,CWE-502 Deserialization of Untrusted Data,"In logback version 1.2.7 and prior versions, an attacker with the required privileges to edit configurations files could craft a malicious configuration allowing to execute arbitrary code loaded from LDAP servers.",NVD,HIGH,8.5,/AV:N/AC:M/Au:S/C:C/I:C/A:C,MEDIUM,6.6,CVSS:3.1/AV:N/AC:H/PR:H/UI:N/S:U/C:H/I:H/A:H,HIGH,32
spring-boot-demo,"Wed, 1 Jun 2022 16:16:23 -0500",spring-boot-2.3.4.RELEASE.jar,C:\Users\crist\.m2\repository\org\springframework\boot\spring-boot\2.3.4.RELEASE\spring-boot-2.3.4.RELEASE.jar,Spring Boot,"Apache License, Version 2.0: https://www.apache.org/licenses/LICENSE-2.0",d344958f6acd622e442372aaa02953a9,f23f14ae4062d5983db89b7c7336166b6734fc57,pkg:maven/org.springframework.boot/spring-boot@2.3.4.RELEASE,"cpe:2.3:a:vmware:spring_boot:2.3.4:release:*:*:*:*:*:*, cpe:2.3:a:vmware:spring_framework:2.3.4:release:*:*:*:*:*:*",CVE-2013-4152,"CWE-264 Permissions, Privileges, and Access Controls","The Spring OXM wrapper in Spring Framework before 3.2.4 and 4.0.0.M1, when using the JAXB marshaller, does not disable entity resolution, which allows context-dependent attackers to read arbitrary files, cause a denial of service, and conduct CSRF attacks via an XML external entity declaration in conjunction with an entity reference in a (1) DOMSource, (2) StAXSource, (3) SAXSource, or (4) StreamSource, aka an XML External Entity (XXE) issue.",NVD,MEDIUM,6.8,/AV:N/AC:M/Au:N/C:P/I:P/A:P,"","","",HIGH,29
spring-boot-demo,"Wed, 1 Jun 2022 16:16:23 -0500",spring-boot-2.3.4.RELEASE.jar,C:\Users\crist\.m2\repository\org\springframework\boot\spring-boot\2.3.4.RELEASE\spring-boot-2.3.4.RELEASE.jar,Spring Boot,"Apache License, Version 2.0: https://www.apache.org/licenses/LICENSE-2.0",d344958f6acd622e442372aaa02953a9,f23f14ae4062d5983db89b7c7336166b6734fc57,pkg:maven/org.springframework.boot/spring-boot@2.3.4.RELEASE,"cpe:2.3:a:vmware:spring_boot:2.3.4:release:*:*:*:*:*:*, cpe:2.3:a:vmware:spring_framework:2.3.4:release:*:*:*:*:*:*",CVE-2013-7315,"CWE-264 Permissions, Privileges, and Access Controls","The Spring MVC in Spring Framework before 3.2.4 and 4.0.0.M1 through 4.0.0.M2 does not disable external entity resolution for the StAX XMLInputFactory, which allows context-dependent attackers to read arbitrary files, cause a denial of service, and conduct CSRF attacks via crafted XML with JAXB, aka an XML External Entity (XXE) issue, and a different vulnerability than CVE-2013-4152.  NOTE: this issue was SPLIT from CVE-2013-4152 due to different affected versions.",NVD,MEDIUM,6.8,/AV:N/AC:M/Au:N/C:P/I:P/A:P,"","","",HIGH,29
spring-boot-demo,"Wed, 1 Jun 2022 16:16:23 -0500",spring-boot-2.3.4.RELEASE.jar,C:\Users\crist\.m2\repository\org\springframework\boot\spring-boot\2.3.4.RELEASE\spring-boot-2.3.4.RELEASE.jar,Spring Boot,"Apache License, Version 2.0: https://www.apache.org/licenses/LICENSE-2.0",d344958f6acd622e442372aaa02953a9,f23f14ae4062d5983db89b7c7336166b6734fc57,pkg:maven/org.springframework.boot/spring-boot@2.3.4.RELEASE,"cpe:2.3:a:vmware:spring_boot:2.3.4:release:*:*:*:*:*:*, cpe:2.3:a:vmware:spring_framework:2.3.4:release:*:*:*:*:*:*",CVE-2014-0054,CWE-352 Cross-Site Request Forgery (CSRF),"The Jaxb2RootElementHttpMessageConverter in Spring MVC in Spring Framework before 3.2.8 and 4.0.0 before 4.0.2 does not disable external entity resolution, which allows remote attackers to read arbitrary files, cause a denial of service, and conduct CSRF attacks via crafted XML, aka an XML External Entity (XXE) issue.  NOTE: this vulnerability exists because of an incomplete fix for CVE-2013-4152, CVE-2013-7315, and CVE-2013-6429.",NVD,MEDIUM,6.8,/AV:N/AC:M/Au:N/C:P/I:P/A:P,"","","",HIGH,29
spring-boot-demo,"Wed, 1 Jun 2022 16:16:23 -0500",spring-boot-2.3.4.RELEASE.jar,C:\Users\crist\.m2\repository\org\springframework\boot\spring-boot\2.3.4.RELEASE\spring-boot-2.3.4.RELEASE.jar,Spring Boot,"Apache License, Version 2.0: https://www.apache.org/licenses/LICENSE-2.0",d344958f6acd622e442372aaa02953a9,f23f14ae4062d5983db89b7c7336166b6734fc57,pkg:maven/org.springframework.boot/spring-boot@2.3.4.RELEASE,"cpe:2.3:a:vmware:spring_boot:2.3.4:release:*:*:*:*:*:*, cpe:2.3:a:vmware:spring_framework:2.3.4:release:*:*:*:*:*:*",CVE-2016-1000027,CWE-502 Deserialization of Untrusted Data,"Pivotal Spring Framework through 5.3.16 suffers from a potential remote code execution (RCE) issue if used for Java deserialization of untrusted data. Depending on how the library is implemented within a product, this issue may or not occur, and authentication may be required. NOTE: the vendor's position is that untrusted data is not an intended use case. The product's behavior will not be changed because some users rely on deserialization of trusted data.",NVD,HIGH,7.5,/AV:N/AC:L/Au:N/C:P/I:P/A:P,CRITICAL,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,HIGH,29
spring-boot-demo,"Wed, 1 Jun 2022 16:16:23 -0500",spring-boot-2.3.4.RELEASE.jar,C:\Users\crist\.m2\repository\org\springframework\boot\spring-boot\2.3.4.RELEASE\spring-boot-2.3.4.RELEASE.jar,Spring Boot,"Apache License, Version 2.0: https://www.apache.org/licenses/LICENSE-2.0",d344958f6acd622e442372aaa02953a9,f23f14ae4062d5983db89b7c7336166b6734fc57,pkg:maven/org.springframework.boot/spring-boot@2.3.4.RELEASE,"cpe:2.3:a:vmware:spring_boot:2.3.4:release:*:*:*:*:*:*, cpe:2.3:a:vmware:spring_framework:2.3.4:release:*:*:*:*:*:*",CVE-2022-22965,CWE-94 Improper Control of Generation of Code ('Code Injection'),"A Spring MVC or Spring WebFlux application running on JDK 9+ may be vulnerable to remote code execution (RCE) via data binding. The specific exploit requires the application to run on Tomcat as a WAR deployment. If the application is deployed as a Spring Boot executable jar, i.e. the default, it is not vulnerable to the exploit. However, the nature of the vulnerability is more general, and there may be other ways to exploit it.",NVD,HIGH,7.5,/AV:N/AC:L/Au:N/C:P/I:P/A:P,CRITICAL,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,HIGH,29
spring-boot-demo,"Wed, 1 Jun 2022 16:16:23 -0500",spring-boot-2.3.4.RELEASE.jar,C:\Users\crist\.m2\repository\org\springframework\boot\spring-boot\2.3.4.RELEASE\spring-boot-2.3.4.RELEASE.jar,Spring Boot,"Apache License, Version 2.0: https://www.apache.org/licenses/LICENSE-2.0",d344958f6acd622e442372aaa02953a9,f23f14ae4062d5983db89b7c7336166b6734fc57,pkg:maven/org.springframework.boot/spring-boot@2.3.4.RELEASE,"cpe:2.3:a:vmware:spring_boot:2.3.4:release:*:*:*:*:*:*, cpe:2.3:a:vmware:spring_framework:2.3.4:release:*:*:*:*:*:*",CVE-2022-22968,CWE-178 Improper Handling of Case Sensitivity,"In Spring Framework versions 5.3.0 - 5.3.18, 5.2.0 - 5.2.20, and older unsupported versions, the patterns for disallowedFields on a DataBinder are case sensitive which means a field is not effectively protected unless it is listed with both upper and lower case for the first character of the field, including upper and lower case for the first character of all nested fields within the property path.",NVD,MEDIUM,5.0,/AV:N/AC:L/Au:N/C:N/I:P/A:N,MEDIUM,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,HIGH,29
